"","uid","status","lat","lon"
"1.start",1,"start",19.81733333,-156.274
"1.end",1,"end",19.75466667,-156.2033333
"2.start",2,"start",19.71533333,-156.1568333
"2.end",2,"end",19.60916522,-156.0363545
"3.start",3,"start",19.8265,-156.1041667
"3.end",3,"end",19.87666673,-156.266163
"4.start",4,"start",19.88233333,-156.2903333
"4.end",4,"end",19.91283367,-156.4111492
"5.start",5,"start",19.92783333,-156.4755
"5.end",5,"end",19.9330002,-156.4954889
"6.start",6,"start",19.93583333,-156.5073333
"6.end",6,"end",20.05616699,-157.2149853
